id,title,price,promo_price,url,region
619021,Конструктор LEGO Classic Дополнение к набору для творчества – пастельные цвета,1699RUB,1439RUB,https://www.detmir.ru/product/index/id/619021/,Moscow
619031,Конструктор LEGO Classic Дополнение к набору для творчества – яркие цвета,1699RUB,809RUB,https://www.detmir.ru/product/index/id/619031/,Moscow
619051,Конструктор LEGO Juniors Чемоданчик «Пожар»,1999RUB,1379RUB,https://www.detmir.ru/product/index/id/619051/,Moscow
619061,Конструктор LEGO Juniors Чемоданчик «Супермаркет»,1999RUB,1699RUB,https://www.detmir.ru/product/index/id/619061/,Moscow
619081,Конструктор LEGO Juniors Мусоровоз,1499RUB,1039RUB,https://www.detmir.ru/product/index/id/619081/,Moscow
619091,Конструктор LEGO Juniors Охота за сокровищами,699RUB,479RUB,https://www.detmir.ru/product/index/id/619091/,Moscow
619101,Конструктор LEGO Juniors Поездка на пляж,699RUB,589RUB,https://www.detmir.ru/product/index/id/619101/,Moscow
619131,Конструктор LEGO Juniors Пони на ферме,2499RUB,1729RUB,https://www.detmir.ru/product/index/id/619131/,Moscow
619141,Конструктор LEGO Juniors Ралли на гоночных автомобилях,2499RUB,1729RUB,https://www.detmir.ru/product/index/id/619141/,Moscow
619181,Конструктор LEGO Juniors Стройка,1209RUB,899RUB,https://www.detmir.ru/product/index/id/619181/,Moscow
619201,Конструктор LEGO DUPLO Town Лесной заповедник,4499RUB,2969RUB,https://www.detmir.ru/product/index/id/619201/,Moscow
619231,Конструктор LEGO DUPLO Town Уточки в лесу,799RUB,549RUB,https://www.detmir.ru/product/index/id/619231/,Moscow
94,Конструктор LEGO Technic Набор с мотором Power Functions,2999RUB,,https://www.detmir.ru/product/index/id/94/,Moscow
3142078,Конструктор LEGO City Fire Пожарное депо,5499RUB,3419RUB,https://www.detmir.ru/product/index/id/3142078/,Moscow
3244611,Конструктор LEGO Technic Ducati Panigale V4 R,5499RUB,3339RUB,https://www.detmir.ru/product/index/id/3244611/,Moscow
3405625,Конструктор LEGO Ninjago Скорострельный истребитель Коула,3599RUB,2249RUB,https://www.detmir.ru/product/index/id/3405625/,Moscow
3386281,Конструктор LEGO Minecraft Заброшенная шахта,1799RUB,1179RUB,https://www.detmir.ru/product/index/id/3386281/,Moscow
3244513,Конструктор LEGO Friends Летний аквапарк,9499RUB,5779RUB,https://www.detmir.ru/product/index/id/3244513/,Moscow
3226557,Конструктор LEGO DUPLO Classic Коробка с кубиками большая,4499RUB,2739RUB,https://www.detmir.ru/product/index/id/3226557/,Moscow
3244486,Конструктор LEGO Creator Пиратский корабль,8999RUB,5469RUB,https://www.detmir.ru/product/index/id/3244486/,Moscow
3175977,Конструктор LEGO City Space Port Ракета для запуска в далекий космос и пульт управления запуском,8999RUB,5499RUB,https://www.detmir.ru/product/index/id/3175977/,Moscow
3405627,Конструктор LEGO Ninjago Битва с роботом Зейна,5399RUB,3279RUB,https://www.detmir.ru/product/index/id/3405627/,Moscow
3244600,Конструктор LEGO Minecraft Набор для творчества 3.0,7499RUB,4729RUB,https://www.detmir.ru/product/index/id/3244600/,Moscow
3193108,Конструктор LEGO Disney Frozen Волшебный ледяной замок Эльзы,6499RUB,4219RUB,https://www.detmir.ru/product/index/id/3193108/,Moscow
3405586,Конструктор LEGO City Police Транспорт для перевозки преступников,1599RUB,969RUB,https://www.detmir.ru/product/index/id/3405586/,Moscow
3244614,Конструктор LEGO Technic Lamborghini Sian FKP 37,36799RUB,22859RUB,https://www.detmir.ru/product/index/id/3244614/,Moscow
3405621,Конструктор LEGO Ninjago Дракон из джунглей,3599RUB,2339RUB,https://www.detmir.ru/product/index/id/3405621/,Moscow
3405587,Конструктор LEGO City Police Катер полицейского патруля,4499RUB,2739RUB,https://www.detmir.ru/product/index/id/3405587/,Moscow
3386280,Конструктор LEGO Minecraft Пасека,1799RUB,1339RUB,https://www.detmir.ru/product/index/id/3386280/,Moscow
3596784,Конструктор LEGO Friends Гранд-отель Хартлейк Сити,9499RUB,5999RUB,https://www.detmir.ru/product/index/id/3596784/,Moscow
619011,Конструктор LEGO Classic Набор для творчества среднего размера,2499RUB,1519RUB,https://www.detmir.ru/product/index/id/619011/,Moscow
